Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,E-mail 1 - Type,E-mail 1 - Value,Phone 1 - Type,Phone 1 - Value
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 16106576031
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17249624860
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128552352
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122515363
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17243026315
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122811872
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122779105
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124083302
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127938736
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126820155
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17243087026
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14129830406
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124047762
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 18145667585
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 18145473392
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17179456475
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14123307591
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17172521561
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122441053
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128724814
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14129698073
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124806967
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126410111
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14123977050
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128960502
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122477566
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17243221132
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127795182
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128928883
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14129044003
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125921663
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17172201183
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 18144521851
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14129138170
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17243465164
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17247748379
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124616752
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14123714819
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124271143
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124788309
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17244943427
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125215449
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127345970
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126094832
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 16106794908
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126554882
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125213043
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 16103513966
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17243464146
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128679663
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17178724946
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 16103515371
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17174906852
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126615794
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17247098017
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126097636
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124012066
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122813380
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17247308218
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17173790564
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126050642
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122770559
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124457441
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17177925178
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127272637
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125957151
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14848182982
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17172833242
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125265435
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 18144343266
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125834935
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122818906
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17179212547
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126838171
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14123730272
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124781119
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14123772418
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127954548
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124812806
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14129017777
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124222151
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125232709
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14129522285
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126573345
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124714005
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124620251
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127583997
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126533155
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128481053
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128946246
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14129566408
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126072166
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17246741478
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124225937
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124617349
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124213537
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124666269
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17243127373
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127705342
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14123849132
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128496502
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122772807
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125864156
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125612118
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14123900283
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17179034867
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126610350
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14123256260
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17243424502
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126887394
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124815145
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128840453
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17178776048
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124915018
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122905894
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14129060245
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128481093
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17174245462
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17247773866
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122440399
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17249310842
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127318418
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127730891
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17243425671
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128964835
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124210357
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17249794729
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17174972826
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124803222
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124438649
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14123785447
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126288285
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 18143984030
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126089201
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127806586
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125261779
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125374246
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127986006
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122522821
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122891252
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127287348
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126242636
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125837294
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14848921752
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122423362
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17179686213
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17176528907
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128602382
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126805749
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124772276
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125379860
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 16107761428
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 18142734115
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128814504
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17246578443
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126644099
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 18144761023
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126784167
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128827194
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127311982
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127516768
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127315281
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128088029
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122471767
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17247342887
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125279980
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124915923
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14129561177
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14129992795
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124418361
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125131956
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128891223
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17248563136
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122770754
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14123840442
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 18146514263
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126369670
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127312303
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128713435
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127276127
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 18143336887
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17243188337
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126920390
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17249812686
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128539116
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14129694781
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127272423
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14123222344
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124522273
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125211451
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122817057
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124410760
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124215890
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127955017
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17243423601
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128964318
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17176262420
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122818589
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124143157
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125831386
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14129779685
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128770898
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124487170
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124010121
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126212836
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124221269
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14128558910
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125192609
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17243750657
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14129181662
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124661273
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14123779323
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 16104626670
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126318564
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14125372879
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122433623
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124738902
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14126514768
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122440878
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14123714214
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14123719415
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124013253
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14122713040
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 17243683683
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14127516641
",,,Imported on 10/31 ::: * myContacts,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"phone1: 14124048834
",,,Imported on 10/31 ::: * myContacts,,,,
